fhrs_address,DPA_MATCH_DESCRIPTION,DPA_UPRN,plot_address,plot_lng,plot_lat
"Purn News, 4 Wild Goose Drive, London, SE14 5LL",PARTIAL,1.00E+11,"BEST BUYS, 4-6, WILD GOOSE DRIVE, LONDON, SE14 5LL",-0.051244813,51.47304116
"Stars of Hope Pre School, Barnes Wallis Community Centre, 74 Wild Goose Drive, London, SE14 5LL",EXACT,1.00E+11,"74, WILD GOOSE DRIVE, LONDON, SE14 5LL",-0.050928031,51.47270317
"1st choice day nursery, 186-188 Peckham High Street, London, SE15 5EG",GOOD,2.00E+11,"186, PECKHAM HIGH STREET, LONDON, SE15 5EG",-0.06531419,51.47369682
"99p stores ltd, 87-91 Rye Lane, London, SE15 5EX",EXACT,2.00E+11,"99P STORE, 87-91, RYE LANE, LONDON, SE15 5EX",-0.068838777,51.47104814
"A & a butchers and grocers, 100 Rye Lane, London, SE15 4RZ",GOOD,2.00E+11,"ACE FOODS, 100, RYE LANE, LONDON, SE15 4RZ",-0.068422812,51.46930571
"A 1 superstore, 2 Choumert Road, London, SE15 4SE",PARTIAL,2.00E+11,"1 GIRDLERS COTTAGES, CHOUMERT ROAD, LONDON, SE15 4SF",-0.069250616,51.46811433
"A g flowers, 139 Evelina Road, London, SE15 3HB",EXACT,2.00E+11,"A G FLOWERS, 139, EVELINA ROAD, LONDON, SE15 3HB",-0.057241665,51.4657667
"Afro-caribbean food vegetables & fruits, Pitch 2 & 5, Parkstone Road, London, SE15 4UQ",,,,,
"Agrobeso, 139 Peckham High Street, London, SE15 5SL",GOOD,2.00E+11,"AGROBEJO, 139, PECKHAM HIGH STREET, LONDON, SE15 5SL",-0.066907977,51.47414576
"Agua na boca ltd, 28b Fenwick Road, London, SE15 4HW",GOOD,2.00E+11,"28B, FENWICK ROAD, LONDON, SE15 4HW",-0.068153837,51.46340209
"Ali baba juice & matcha, 125B Rye Lane, SE15 4ST",PARTIAL,2.00E+11,"MIGHTY POUND, 117-125, RYE LANE, LONDON, SE15 4ST",-0.068440133,51.47025921
"Ali's greengrocery, 115 Rye Lane, London, SE15 4ST",GOOD,2.00E+11,"ALIS GREENGROCERS, 115, RYE LANE, LONDON, SE15 4ST",-0.068414738,51.47051958
"Alpha off licence, 24 Peckham Rye, London, SE15 4JR",GOOD,2.00E+11,"ALPHA OFF LICENSE, 24, PECKHAM RYE, LONDON, SE15 4JR",-0.066793598,51.46595157
"Amott road pre-school (day nursery kitchen), Baptist Church, Amott Road, London, SE15 4HU",GOOD,2.00E+11,"AMOTT ROAD BAPTIST CHURCH, AMOTT ROAD, LONDON, SE15 4HU",-0.071749317,51.46348826
"Anderson & co, 139 Bellenden Road, London, SE15 4DH",EXACT,2.00E+11,"ANDERSON & CO, 139, BELLENDEN ROAD, LONDON, SE15 4DH",-0.072330031,51.46713084
"Ar cash & carry, 78 Rye Lane, London, SE15 4RY",GOOD,2.00E+11,"78, RYE HILL PARK, LONDON, SE15 3JU",-0.056051962,51.45988375
"Arati newsagents, 125 Evelina Road, London, SE15 3HB",GOOD,2.00E+11,"ARATI NEWS, 125, EVELINA ROAD, LONDON, SE15 3HB",-0.056695217,51.46609037
"Argos distributors ltd, 54-56 Rye Lane, London, SE15 5BY",GOOD,2.00E+11,"ARGOS LTD, 54, RYE LANE, LONDON, SE15 5BY",-0.069900163,51.47080483
"Artusi, 161 Bellenden Road, London, SE15 4DH",GOOD,2.00E+11,"ARTUS, 161, BELLENDEN ROAD, LONDON, SE15 4DH",-0.072654135,51.4666146
"Asda supermarket, 174 Rye Lane, London, SE15 4NB",GOOD,2.00E+11,"ASDA STORES LTD, 174, RYE LANE, LONDON, SE15 4NF",-0.067185256,51.4675857
