fhrs_rownum,fhrs_address,plot_address,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,plot_lat,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,plot_lng,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
119516,"Purn News, 4 Wild Goose Drive, London, SE14 5LL","Purn News, 4 Wild Goose Drive, London, SE14 5LL",4 Wild Goose Drive,London,,,Purn News,Retailers - other,4613,10,,254972,5,,51.472805,PI/000178443,523,david.edwards@lewisham.gov.uk,Lewisham,http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx,-0.051613,SE14 5LL,04/02/2014,fhrs_3_en-GB,3,,FHRS,10
119729,"Stars of Hope Pre School, Barnes Wallis Community Centre, 74 Wild Goose Drive, London, SE14 5LL","Stars of Hope Pre School, Barnes Wallis Community Centre, 74 Wild Goose Drive, London, SE14 5LL",Barnes Wallis Community Centre,74 Wild Goose Drive,London,,Stars of Hope Pre School,School/college/university,7845,10,,255533,10,,51.472805,PI/000166827,523,david.edwards@lewisham.gov.uk,Lewisham,http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx,-0.051613,SE14 5LL,20/11/2013,fhrs_3_en-GB,3,,FHRS,10
125339,"1st choice day nursery, 186-188 Peckham High Street, London, SE15 5EG","1st choice day nursery, 186-188 Peckham High Street, London, SE15 5EG",,186-188,Peckham High Street,London,1st choice day nursery,School/college/university,7845,10,,736089,5,,51.473706,184805,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.065326,SE15 5EG,28/01/2015,fhrs_3_en-GB,3,,FHRS,10
125342,"99p stores ltd, 87-91 Rye Lane, London, SE15 5EX","99p stores ltd, 87-91 Rye Lane, London, SE15 5EX",,87-91,Rye Lane,London,99p stores ltd,Retailers - other,4613,20,,363433,5,,51.471369,174033,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069169,SE15 5EX,14/04/2014,fhrs_1_en-GB,1,,FHRS,15
125343,"A & a butchers and grocers, 100 Rye Lane, London, SE15 4RZ","A & a butchers and grocers, 100 Rye Lane, London, SE15 4RZ",,100,Rye Lane,London,A & a butchers and grocers,Retailers - other,4613,20,,362666,10,,51.469024,107337,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,02/07/2014,fhrs_1_en-GB,1,,FHRS,10
125348,"A 1 superstore, 2 Choumert Road, London, SE15 4SE","A 1 superstore, 2 Choumert Road, London, SE15 4SE",,2,Choumert Road,London,A 1 superstore,Retailers - other,4613,10,,363996,10,,51.468211,1856,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,10/09/2010,fhrs_3_en-GB,3,,FHRS,10
125351,"A g flowers, 139 Evelina Road, London, SE15 3HB","A g flowers, 139 Evelina Road, London, SE15 3HB",,139,Evelina Road,London,A g flowers,Retailers - other,4613,,,421378,,,51.466101,42023,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,12/01/2011,fhrs_exempt_en-GB,Exempt,,FHRS,
125371,"Afro-caribbean food vegetables & fruits, Pitch 2 & 5, Parkstone Road, London, SE15 4UQ","Afro-caribbean food vegetables & fruits, Pitch 2 & 5, Parkstone Road, London, SE15 4UQ",Pitch 2 & 5,,Parkstone Road,London,Afro-caribbean food vegetables & fruits,Retailers - other,4613,10,,364830,5,,51.468902,53580,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066797,SE15 4UQ,21/01/2011,fhrs_4_en-GB,4,,FHRS,5
125374,"Agrobeso, 139 Peckham High Street, London, SE15 5SL","Agrobeso, 139 Peckham High Street, London, SE15 5SL",,139,Peckham High Street,London,Agrobeso,Takeaway/sandwich shop,7844,10,,365101,10,,51.474167,91712,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,27/06/2014,fhrs_2_en-GB,2,,FHRS,15
125375,"Agua na boca ltd, 28b Fenwick Road, London, SE15 4HW","Agua na boca ltd, 28b Fenwick Road, London, SE15 4HW",,28b,Fenwick Road,London,Agua na boca ltd,Other catering premises,7841,10,,617523,10,,51.463792,182868,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068294,SE15 4HW,09/10/2013,fhrs_3_en-GB,3,,FHRS,10
