,Unnamed: 0,Unnamed: 0.1,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural,full_address,DPA_POST_TOWN,DPA_STATUS,DPA_MATCH_DESCRIPTION,DPA_THOROUGHFARE_NAME,DPA_Y_COORDINATE,DPA_UPRN,DPA_RPC,DPA_POSTCODE,DPA_ADDRESS,DPA_X_COORDINATE,DPA_ORGANISATION_NAME,DPA_MATCH,DPA_BUILDING_NAME,DPA_lat,DPA_lng,DPA_BUILDING_NUMBER,DPA_DEPENDENT_THOROUGHFARE_NAME,DPA_SUB_BUILDING_NAME
0,119516,119516,4 Wild Goose Drive,London,,,Purn News,Retailers - other,4613,10,,254972,5,,51.472805,PI/000178443,523,david.edwards@lewisham.gov.uk,Lewisham,http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx,-0.051613,SE14 5LL,04/02/2014,fhrs_3_en-GB,3,,FHRS,10,"Purn News, 4 Wild Goose Drive, London, SE14 5LL",LONDON,APPROVED,PARTIAL,WILD GOOSE DRIVE,176698,1.00023E+11,1,SE14 5LL,"BEST BUYS, 4-6, WILD GOOSE DRIVE, LONDON, SE14 5LL",535443,BEST BUYS,0.7,04-Jun,-0.051244813,51.47304116,,,
1,119729,119729,Barnes Wallis Community Centre,74 Wild Goose Drive,London,,Stars of Hope Pre School,School/college/university,7845,10,,255533,10,,51.472805,PI/000166827,523,david.edwards@lewisham.gov.uk,Lewisham,http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx,-0.051613,SE14 5LL,20/11/2013,fhrs_3_en-GB,3,,FHRS,10,"Stars of Hope Pre School, Barnes Wallis Community Centre, 74 Wild Goose Drive, London, SE14 5LL",LONDON,APPROVED,EXACT,WILD GOOSE DRIVE,176661,1.00023E+11,1,SE14 5LL,"74, WILD GOOSE DRIVE, LONDON, SE14 5LL",535466,,1,,-0.050928031,51.47270317,74,,
2,125339,125339,,186-188,Peckham High Street,London,1st choice day nursery,School/college/university,7845,10,,736089,5,,51.473706,184805,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.065326,SE15 5EG,28/01/2015,fhrs_3_en-GB,3,,FHRS,10,"1st choice day nursery, 186-188, Peckham High Street, London, SE15 5EG",LONDON,APPROVED,GOOD,PECKHAM HIGH STREET,176745,2.00003E+11,1,SE15 5EG,"186, PECKHAM HIGH STREET, LONDON, SE15 5EG",534464,,0.9,,-0.06531419,51.47369682,186,,
3,125342,125342,,87-91,Rye Lane,London,99p stores ltd,Retailers - other,4613,20,,363433,5,,51.471369,174033,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069169,SE15 5EX,14/04/2014,fhrs_1_en-GB,1,,FHRS,15,"99p stores ltd, 87-91 Rye Lane, London, SE15 5EX",LONDON,APPROVED,EXACT,RYE LANE,176444,2.00003E+11,1,SE15 5EX,"99P STORE, 87-91, RYE LANE, LONDON, SE15 5EX",534227,99P STORE,1,87-91,-0.068838777,51.47104814,,,
4,125343,125343,,100,Rye Lane,London,A & a butchers and grocers,Retailers - other,4613,20,,362666,10,,51.469024,107337,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,02/07/2014,fhrs_1_en-GB,1,,FHRS,10,"A & a butchers and grocers, 100 Rye Lane, London, SE15 4RZ",LONDON,APPROVED,GOOD,RYE LANE,176251,2.00003E+11,1,SE15 4RZ,"ACE FOODS, 100, RYE LANE, LONDON, SE15 4RZ",534261,ACE FOODS,0.8,,-0.068422812,51.46930571,100,,
5,125348,125348,,2,Choumert Road,London,A 1 superstore,Retailers - other,4613,10,,363996,10,,51.468211,1856,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,10/09/2010,fhrs_3_en-GB,3,,FHRS,10,"A 1 superstore, 2 Choumert Road, London, SE15 4SE",LONDON,APPROVED,PARTIAL,CHOUMERT ROAD,176117,2.00003E+11,1,SE15 4SF,"1 GIRDLERS COTTAGES, CHOUMERT ROAD, LONDON, SE15 4SF",534207,,0.7,1 GIRDLERS COTTAGES,-0.069250616,51.46811433,,,
6,125351,125351,,139,Evelina Road,London,A g flowers,Retailers - other,4613,,,421378,,,51.466101,42023,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,12/01/2011,fhrs_exempt_en-GB,Exempt,,FHRS,,"A g flowers, 139 Evelina Road, London, SE15 3HB",LONDON,APPROVED,EXACT,EVELINA ROAD,175878,2.00003E+11,1,SE15 3HB,"A G FLOWERS, 139, EVELINA ROAD, LONDON, SE15 3HB",535048,A G FLOWERS,1,,-0.057241665,51.4657667,139,,
7,125371,125371,Pitch 2 & 5,,Parkstone Road,London,Afro-caribbean food vegetables & fruits,Retailers - other,4613,10,,364830,5,,51.468902,53580,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066797,SE15 4UQ,21/01/2011,fhrs_4_en-GB,4,,FHRS,5,"Afro-caribbean food vegetables & fruits, Pitch 2 & 5, Parkstone Road, London, SE15 4UQ",,,,,,,,,,,,,,,,,,
8,125374,125374,,139,Peckham High Street,London,Agrobeso,Takeaway/sandwich shop,7844,10,,365101,10,,51.474167,91712,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,27/06/2014,fhrs_2_en-GB,2,,FHRS,15,"Agrobeso, 139 Peckham High Street, London, SE15 5SL",LONDON,APPROVED,GOOD,PECKHAM HIGH STREET,176792,2.00003E+11,1,SE15 5SL,"AGROBEJO, 139, PECKHAM HIGH STREET, LONDON, SE15 5SL",534352,AGROBEJO,0.8,,-0.066907977,51.47414576,139,,
9,125375,125375,,28b,Fenwick Road,London,Agua na boca ltd,Other catering premises,7841,10,,617523,10,,51.463792,182868,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068294,SE15 4HW,09/10/2013,fhrs_3_en-GB,3,,FHRS,10,"Agua na boca ltd, 28b, Fenwick Road, London, SE15 4HW",LONDON,APPROVED,GOOD,FENWICK ROAD,175595,2.00003E+11,1,SE15 4HW,"28B, FENWICK ROAD, LONDON, SE15 4HW",534297,,0.9,28B,-0.068153837,51.46340209,,,
