classification_code,classification_desc,fhrs_address,matched_address,matched_lat,matched_lng,uprn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Purn News, 4 Wild Goose Drive, London, SE14 5LL","BEST BUYS, 4 WILD GOOSE DRIVE, LONDON, SE14 5LL",51.47304116,-0.051244813,1.00023E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,Community Services,"Stars of Hope Pre School, Barnes Wallis Community Centre, 74 Wild Goose Drive, London, SE14 5LL","74 WILD GOOSE DRIVE, LONDON, SE14 5LL",51.47270317,-0.050928031,1.00023E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO01,Office / Work Studio,"1st choice day nursery, 186 Peckham High Street, London, SE15 5EG","186 PECKHAM HIGH STREET, LONDON, SE15 5EG",51.47369682,-0.06531419,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"99p stores ltd, 87 Rye Lane, London, SE15 5EX","99P STORE, 87 RYE LANE, LONDON, SE15 5EX",51.47104814,-0.068838777,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"A & a butchers and grocers, 100 Rye Lane, London, SE15 4RZ","ACE FOODS, 100 RYE LANE, LONDON, SE15 4RZ",51.46930571,-0.068422812,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"A 1 superstore, 2 Choumert Road, London, SE15 4SE","A1, 2 CHOUMERT ROAD, LONDON, SE15 4SE",51.46825522,-0.067977646,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"A g flowers, 139 Evelina Road, London, SE15 3HB","A G FLOWERS, 139 EVELINA ROAD, LONDON, SE15 3HB",51.4657667,-0.057241665,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Afro-caribbean food vegetables & fruits, Pitch 2 & 5, Parkstone Road, London, SE15 4UQ","5 PARKSTONE ROAD, LONDON, SE15 4UQ",51.46884284,-0.067074534,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Agrobeso, 139 Peckham High Street, London, SE15 5SL","AGROBEJO, 139 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47414576,-0.066907977,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP,Property Shell,"Agua na boca ltd, 28b Fenwick Road, London, SE15 4HW","28B FENWICK ROAD, LONDON, SE15 4HW",51.46340209,-0.068153837,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
