fhrs_address,fhrs_lat,fhrs_lng,matched_address2,matched_lat,matched_lng
"Purn News, 4 Wild Goose Drive, London, SE14 5LL",51.472805,-0.051613,"BEST BUYS, 4 WILD GOOSE DRIVE, LONDON, SE14 5LL",51.47304116,-0.051244813
"Stars of Hope Pre School, Barnes Wallis Community Centre, 74 Wild Goose Drive, London, SE14 5LL",51.472805,-0.051613,"74 WILD GOOSE DRIVE, LONDON, SE14 5LL",51.47270317,-0.050928031
"1st choice day nursery, 186, Peckham High Street, London, SE15 5EG",51.473706,-0.065326,"186 PECKHAM HIGH STREET, LONDON, SE15 5EG",51.47369682,-0.06531419
"99p stores ltd, 87 Rye Lane, London, SE15 5EX",51.471369,-0.069169,"99P STORE, 87 RYE LANE, LONDON, SE15 5EX",51.47104814,-0.068838777
"A & a butchers and grocers, 100 Rye Lane, London, SE15 4RZ",51.469024,-0.068174,"ACE FOODS, 100 RYE LANE, LONDON, SE15 4RZ",51.46930571,-0.068422812
"A 1 superstore, 2 Choumert Road, London, SE15 4SE",51.468211,-0.068496,"A1, 2 CHOUMERT ROAD, LONDON, SE15 4SE",51.46825522,-0.067977646
"A g flowers, 139 Evelina Road, London, SE15 3HB",51.466101,-0.056707,"A G FLOWERS, 139 EVELINA ROAD, LONDON, SE15 3HB",51.4657667,-0.057241665
"Afro-caribbean food vegetables & fruits, Pitch 2 & 5, Parkstone Road, London, SE15 4UQ",51.468902,-0.066797,"5 PARKSTONE ROAD, LONDON, SE15 4UQ",51.46884284,-0.067074534
"Agrobeso, 139 Peckham High Street, London, SE15 5SL",51.474167,-0.066488,"AGROBEJO, 139 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47414576,-0.066907977
"Agua na boca ltd, 28b, Fenwick Road, London, SE15 4HW",51.463792,-0.068294,"28B FENWICK ROAD, LONDON, SE15 4HW",51.46340209,-0.068153837
"Ali baba juice & matcha, 125B, Rye Lane, SE15 4ST",51.469866,-0.068008,"RYE LANE CHINESE, 125 RYE LANE, LONDON, SE15 4ST",51.47014049,-0.068329959
"Ali's greengrocery, 115 Rye Lane, London, SE15 4ST",51.469866,-0.068008,"ALIS GREENGROCERS, 115 RYE LANE, LONDON, SE15 4ST",51.47051958,-0.068414738
"Alpha off licence, 24 Peckham Rye, London, SE15 4JR",51.465565,-0.066722,"ALPHA OFF LICENSE, 24 PECKHAM RYE, LONDON, SE15 4JR",51.46595157,-0.066793598
"Amott road pre-school (day nursery kitchen), Baptist Church, Amott Road, London, SE15 4HU",51.463914,-0.070247,"AMOTT ROAD BAPTIST CHURCH, AMOTT ROAD, LONDON, SE15 4HU",51.46348826,-0.071749317
"Anderson & co, 139 Bellenden Road, London, SE15 4DH",51.466882,-0.072468,"ANDERSON & CO, 139 BELLENDEN ROAD, LONDON, SE15 4DH",51.46713084,-0.072330031
"Ar cash & carry, 78 Rye Lane, London, SE15 4RY",51.470033,-0.068865,"CASH N CARRY, 78 RYE LANE, LONDON, SE15 4RY",51.47005089,-0.068895287
"Arati newsagents, 125 Evelina Road, London, SE15 3HB",51.466101,-0.056707,"ARATI NEWS, 125 EVELINA ROAD, LONDON, SE15 3HB",51.46609037,-0.056695217
"Argos distributors ltd, 54 Rye Lane, London, SE15 5BY",51.471164,-0.069782,"ARGOS LTD, 54 RYE LANE, LONDON, SE15 5BY",51.47080483,-0.069900163
"Artusi, 161 Bellenden Road, London, SE15 4DH",51.466882,-0.072468,"ARTUS, 161 BELLENDEN ROAD, LONDON, SE15 4DH",51.4666146,-0.072654135
"Asda supermarket, 174 Rye Lane, London, SE15 4NB",51.467853,-0.067518,"SOUND AS A POUND, 170 RYE LANE, LONDON, SE15 4NB",51.46766966,-0.067368879
"Asian take away, Forecourt After, 125 Rye Lane, London, SE15 4ST",51.469866,-0.068008,"RYE LANE CHINESE, 125 RYE LANE, LONDON, SE15 4ST",51.47014049,-0.068329959
"Astar fish bar, 98 Evelina Road, London, SE15 3HL",51.466607,-0.056326,"A* FISH BAR, 98 EVELINA ROAD, LONDON, SE15 3HL",51.46657062,-0.056372465
"Auntie sue variety store, Units 37 And 38 Rye Lane Mark, 48 Rye Lane, London, SE15 5BY",51.471164,-0.069782,"SKY ASSOCIATES LTD, RYE LANE MARKET, 48 RYE LANE, LONDON, SE15 5BY",51.47125225,-0.069766087
"Aunty sue varieties store, Unit 39 Rye Lane Market, 48 Rye Lane, London, SE15 5BY",51.471164,-0.069782,"BRIDAL COLLECTIONS, RYE LANE MARKET, 48 RYE LANE, LONDON, SE15 5BY",51.47124327,-0.069766467
"Avondale mini market, 63 Avondale Rise, London, SE15 4AJ",51.465307,-0.07622,"AVONDALE MINI MARKET, 63 AVONDALE RISE, LONDON, SE15 4AJ",51.46520743,-0.077320471
"Bahar kebab, 157 Queens Road, London, SE15 2ND",51.473679,-0.057091,"BAHAR KEBAB, 157 QUEENS ROAD, LONDON, SE15 2ND",51.47351885,-0.056928882
"Bajan spice, 28 Nunhead Green, London, SE15 3QF",51.465307,-0.058224,"BAJAN SPICE, 28 NUNHEAD GREEN, LONDON, SE15 3QF",51.46534138,-0.058166746
"Bambuni, 143 Evelina Road, London, SE15 3HB",51.466101,-0.056707,"BAMBUNI, 143 EVELINA ROAD, LONDON, SE15 3HB",51.46571492,-0.057373439
