,Unnamed: 0,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
119516,119516,4 Wild Goose Drive,London,,,Purn News,Retailers - other,4613,10.0,,254972,5.0,,51.472805,PI/000178443,523,david.edwards@lewisham.gov.uk,Lewisham,http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx,-0.051613,SE14 5LL,2014-02-04,fhrs_3_en-GB,3,,FHRS,10.0
119729,119729,Barnes Wallis Community Centre,74 Wild Goose Drive,London,,Stars of Hope Pre School,School/college/university,7845,10.0,,255533,10.0,,51.472805,PI/000166827,523,david.edwards@lewisham.gov.uk,Lewisham,http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx,-0.051613,SE14 5LL,2013-11-20,fhrs_3_en-GB,3,,FHRS,10.0
125339,125339,,186-188,Peckham High Street,London,1st choice day nursery,School/college/university,7845,10.0,,736089,5.0,,51.473706,184805,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.065326,SE15 5EG,2015-01-28,fhrs_3_en-GB,3,,FHRS,10.0
125342,125342,,87-91,Rye Lane,London,99p stores ltd,Retailers - other,4613,20.0,,363433,5.0,,51.471369,174033,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069169,SE15 5EX,2014-04-14,fhrs_1_en-GB,1,,FHRS,15.0
125343,125343,,100,Rye Lane,London,A & a butchers and grocers,Retailers - other,4613,20.0,,362666,10.0,,51.469024,107337,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2014-07-02,fhrs_1_en-GB,1,,FHRS,10.0
125348,125348,,2,Choumert Road,London,A 1 superstore,Retailers - other,4613,10.0,,363996,10.0,,51.468211,1856,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,2010-09-10,fhrs_3_en-GB,3,,FHRS,10.0
125351,125351,,139,Evelina Road,London,A g flowers,Retailers - other,4613,,,421378,,,51.466101,42023,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,2011-01-12,fhrs_exempt_en-GB,Exempt,,FHRS,
125371,125371,Pitch 2 & 5,,Parkstone Road,London,Afro-caribbean food vegetables & fruits,Retailers - other,4613,10.0,,364830,5.0,,51.468902,53580,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066797,SE15 4UQ,2011-01-21,fhrs_4_en-GB,4,,FHRS,5.0
125374,125374,,139,Peckham High Street,London,Agrobeso,Takeaway/sandwich shop,7844,10.0,,365101,10.0,,51.474167,91712,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2014-06-27,fhrs_2_en-GB,2,,FHRS,15.0
125375,125375,,28b,Fenwick Road,London,Agua na boca ltd,Other catering premises,7841,10.0,,617523,10.0,,51.463792,182868,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068294,SE15 4HW,2013-10-09,fhrs_3_en-GB,3,,FHRS,10.0
125389,125389,,125B,Rye Lane,,Ali baba juice & matcha,Retailers - other,4613,10.0,,714782,15.0,,51.469866,183775,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2014-10-17,fhrs_2_en-GB,2,,FHRS,10.0
125393,125393,,115,Rye Lane,London,Ali's greengrocery,Retailers - other,4613,10.0,,362618,5.0,,51.469866,103495,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2014-04-14,fhrs_3_en-GB,3,,FHRS,10.0
125401,125401,,24,Peckham Rye,London,Alpha off licence,Retailers - other,4613,10.0,,364777,5.0,,51.465565,50839,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066722,SE15 4JR,2012-02-29,fhrs_4_en-GB,4,,FHRS,0.0
125411,125411,Baptist Church,,Amott Road,London,Amott road pre-school (day nursery kitchen),Hospitals/Childcare/Caring Premises,5,0.0,,363072,0.0,,51.463914,1456,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070247,SE15 4HU,2009-12-11,fhrs_5_en-GB,5,,FHRS,5.0
125419,125419,,139,Bellenden Road,London,Anderson & co,Restaurant/Cafe/Canteen,1,0.0,,363648,0.0,,51.466882,175816,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072468,SE15 4DH,2012-08-28,fhrs_5_en-GB,5,,FHRS,5.0
125437,125437,,78,Rye Lane,London,Ar cash & carry,Retailers - other,4613,0.0,,364001,0.0,,51.470033,1862,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068865,SE15 4RY,2014-04-14,fhrs_4_en-GB,4,,FHRS,10.0
